"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","360","Check that user exist","tests.api.users","Fri Sep 19 14:17:04 UTC 2025","passed","Fri Sep 19 14:17:04 UTC 2025","TestCheckUser","test_check_user","",""
"","119","Check user details","tests.api.users","Fri Sep 19 14:17:04 UTC 2025","passed","Fri Sep 19 14:17:04 UTC 2025","TestCheckUser","test_check_user","",""
"","416","test_login","tests.api.athentication","Fri Sep 19 14:17:02 UTC 2025","passed","Fri Sep 19 14:17:02 UTC 2025","TestAuthentication","test_auth_api","",""
"","3391","User login with valid email and password","tests.ui","Fri Sep 19 14:17:13 UTC 2025","passed","Fri Sep 19 14:17:16 UTC 2025","TestAuthorization","test_registration_user","",""
"","6846","User open home page with state logged in","tests.ui","Fri Sep 19 14:17:48 UTC 2025","failed","Fri Sep 19 14:17:54 UTC 2025","","test_browser_state","",""
"","1061","test_add_products_to_cart","tests.api.products","Fri Sep 19 14:17:02 UTC 2025","passed","Fri Sep 19 14:17:03 UTC 2025","TestProducts","test_products","",""
"","4990","New User Registration","tests.ui","Fri Sep 19 14:17:55 UTC 2025","passed","Fri Sep 19 14:18:00 UTC 2025","TestAuthorization","test_registration_user","",""
"","7108","User login with valid email and password","tests.ui","Fri Sep 19 14:17:06 UTC 2025","failed","Fri Sep 19 14:17:13 UTC 2025","TestAuthorization","test_registration_user","",""
"","489","Create user","tests.api.users","Fri Sep 19 14:17:03 UTC 2025","passed","Fri Sep 19 14:17:04 UTC 2025","TestCreateUser","test_create_user","",""
