"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","Check that user exist","tests.api.users","Tue Sep 30 08:17:21 UTC 2025","passed","Tue Sep 30 08:17:21 UTC 2025","TestCheckUser","test_check_user","",""
"","205","test_login","tests.api.athentication","Tue Sep 30 08:17:19 UTC 2025","passed","Tue Sep 30 08:17:19 UTC 2025","TestAuthentication","test_auth_api","",""
"","2816","User login with valid email and password","tests.ui","Tue Sep 30 08:17:29 UTC 2025","passed","Tue Sep 30 08:17:32 UTC 2025","TestAuthorization","test_registration_user","",""
"","6894","User login with valid email and password","tests.ui","Tue Sep 30 08:17:22 UTC 2025","failed","Tue Sep 30 08:17:29 UTC 2025","TestAuthorization","test_registration_user","",""
"","6100","User open home page with state logged in","tests.ui","Tue Sep 30 08:18:00 UTC 2025","failed","Tue Sep 30 08:18:06 UTC 2025","","test_browser_state","",""
"","181","Create user","tests.api.users","Tue Sep 30 08:17:20 UTC 2025","passed","Tue Sep 30 08:17:20 UTC 2025","TestCreateUser","test_create_user","",""
"","502","test_add_products_to_cart","tests.api.products","Tue Sep 30 08:17:19 UTC 2025","passed","Tue Sep 30 08:17:20 UTC 2025","TestProducts","test_products","",""
"","114","Check user details","tests.api.users","Tue Sep 30 08:17:21 UTC 2025","passed","Tue Sep 30 08:17:21 UTC 2025","TestCheckUser","test_check_user","",""
"","6902","New User Registration","tests.ui","Tue Sep 30 08:18:06 UTC 2025","failed","Tue Sep 30 08:18:13 UTC 2025","TestAuthorization","test_registration_user","",""
