"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6990","User login with valid email and password","tests.ui","Fri Sep 19 14:42:25 UTC 2025","failed","Fri Sep 19 14:42:32 UTC 2025","TestAuthorization","test_registration_user","",""
"","351","Create user","tests.api.users","Fri Sep 19 14:42:24 UTC 2025","passed","Fri Sep 19 14:42:24 UTC 2025","TestCreateUser","test_create_user","",""
"","90","Check user details","tests.api.users","Fri Sep 19 14:42:25 UTC 2025","passed","Fri Sep 19 14:42:25 UTC 2025","TestCheckUser","test_check_user","",""
"","6639","User open home page with state logged in","tests.ui","Fri Sep 19 14:43:05 UTC 2025","failed","Fri Sep 19 14:43:11 UTC 2025","","test_browser_state","",""
"","263","Check that user exist","tests.api.users","Fri Sep 19 14:42:24 UTC 2025","passed","Fri Sep 19 14:42:25 UTC 2025","TestCheckUser","test_check_user","",""
"","3069","User login with valid email and password","tests.ui","Fri Sep 19 14:42:33 UTC 2025","passed","Fri Sep 19 14:42:36 UTC 2025","TestAuthorization","test_registration_user","",""
"","4952","New User Registration","tests.ui","Fri Sep 19 14:43:12 UTC 2025","passed","Fri Sep 19 14:43:17 UTC 2025","TestAuthorization","test_registration_user","",""
"","201","test_login","tests.api.athentication","Fri Sep 19 14:42:22 UTC 2025","passed","Fri Sep 19 14:42:22 UTC 2025","TestAuthentication","test_auth_api","",""
"","1056","test_add_products_to_cart","tests.api.products","Fri Sep 19 14:42:22 UTC 2025","passed","Fri Sep 19 14:42:23 UTC 2025","TestProducts","test_products","",""
