"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","411","test_login","tests.api.athentication","Fri Sep 19 14:15:09 UTC 2025","passed","Fri Sep 19 14:15:09 UTC 2025","TestAuthentication","test_auth_api","",""
"","567","Create user","tests.api.users","Fri Sep 19 14:15:11 UTC 2025","passed","Fri Sep 19 14:15:11 UTC 2025","TestCreateUser","test_create_user","",""
"","6365","User open home page with state logged in","tests.ui","Fri Sep 19 14:15:52 UTC 2025","failed","Fri Sep 19 14:15:59 UTC 2025","","test_browser_state","",""
"","7505","User login with valid email and password","tests.ui","Fri Sep 19 14:15:14 UTC 2025","failed","Fri Sep 19 14:15:22 UTC 2025","TestAuthorization","test_registration_user","",""
"","4903","New User Registration","tests.ui","Fri Sep 19 14:15:59 UTC 2025","passed","Fri Sep 19 14:16:04 UTC 2025","TestAuthorization","test_registration_user","",""
"","358","Check that user exist","tests.api.users","Fri Sep 19 14:15:13 UTC 2025","passed","Fri Sep 19 14:15:13 UTC 2025","TestCheckUser","test_check_user","",""
"","1462","test_add_products_to_cart","tests.api.products","Fri Sep 19 14:15:09 UTC 2025","passed","Fri Sep 19 14:15:11 UTC 2025","TestProducts","test_products","",""
"","182","Check user details","tests.api.users","Fri Sep 19 14:15:13 UTC 2025","passed","Fri Sep 19 14:15:14 UTC 2025","TestCheckUser","test_check_user","",""
"","3262","User login with valid email and password","tests.ui","Fri Sep 19 14:15:22 UTC 2025","passed","Fri Sep 19 14:15:25 UTC 2025","TestAuthorization","test_registration_user","",""
