"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6965","New User Registration","tests.ui","Tue Sep 30 08:16:16 UTC 2025","failed","Tue Sep 30 08:16:23 UTC 2025","TestAuthorization","test_registration_user","",""
"","123","Check user details","tests.api.users","Tue Sep 30 08:15:28 UTC 2025","passed","Tue Sep 30 08:15:29 UTC 2025","TestCheckUser","test_check_user","",""
"","3062","User login with valid email and password","tests.ui","Tue Sep 30 08:15:37 UTC 2025","passed","Tue Sep 30 08:15:40 UTC 2025","TestAuthorization","test_registration_user","",""
"","7123","User login with valid email and password","tests.ui","Tue Sep 30 08:15:29 UTC 2025","failed","Tue Sep 30 08:15:37 UTC 2025","TestAuthorization","test_registration_user","",""
"","553","Create user","tests.api.users","Tue Sep 30 08:15:28 UTC 2025","passed","Tue Sep 30 08:15:28 UTC 2025","TestCreateUser","test_create_user","",""
"","114","Check that user exist","tests.api.users","Tue Sep 30 08:15:28 UTC 2025","passed","Tue Sep 30 08:15:28 UTC 2025","TestCheckUser","test_check_user","",""
"","465","test_login","tests.api.athentication","Tue Sep 30 08:15:26 UTC 2025","passed","Tue Sep 30 08:15:27 UTC 2025","TestAuthentication","test_auth_api","",""
"","897","test_add_products_to_cart","tests.api.products","Tue Sep 30 08:15:27 UTC 2025","passed","Tue Sep 30 08:15:28 UTC 2025","TestProducts","test_products","",""
"","6842","User open home page with state logged in","tests.ui","Tue Sep 30 08:16:09 UTC 2025","failed","Tue Sep 30 08:16:15 UTC 2025","","test_browser_state","",""
