"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106","Check that user exist","tests.api.users","Fri Sep 19 14:08:07 UTC 2025","passed","Fri Sep 19 14:08:07 UTC 2025","TestCheckUser","test_check_user","",""
"","4584","User login with valid email and password","tests.ui","Fri Sep 19 14:08:18 UTC 2025","passed","Fri Sep 19 14:08:22 UTC 2025","TestAuthorization","test_registration_user","",""
"","7834","User login with valid email and password","tests.ui","Fri Sep 19 14:08:09 UTC 2025","failed","Fri Sep 19 14:08:17 UTC 2025","TestAuthorization","test_registration_user","",""
"","970","test_add_products_to_cart","tests.api.products","Fri Sep 19 14:08:05 UTC 2025","passed","Fri Sep 19 14:08:06 UTC 2025","TestProducts","test_products","",""
"","398","test_login","tests.api.athentication","Fri Sep 19 14:08:05 UTC 2025","passed","Fri Sep 19 14:08:05 UTC 2025","TestAuthentication","test_auth_api","",""
"","6350","User open home page with state logged in","tests.ui","Fri Sep 19 14:08:49 UTC 2025","failed","Fri Sep 19 14:08:55 UTC 2025","","test_browser_state","",""
"","4727","New User Registration","tests.ui","Fri Sep 19 14:08:56 UTC 2025","passed","Fri Sep 19 14:09:00 UTC 2025","TestAuthorization","test_registration_user","",""
"","409","Create user","tests.api.users","Fri Sep 19 14:08:06 UTC 2025","passed","Fri Sep 19 14:08:07 UTC 2025","TestCreateUser","test_create_user","",""
"","294","Check user details","tests.api.users","Fri Sep 19 14:08:07 UTC 2025","passed","Fri Sep 19 14:08:07 UTC 2025","TestCheckUser","test_check_user","",""
