"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1067","test_add_products_to_cart","tests.api.products","Fri Sep 19 14:08:29 UTC 2025","passed","Fri Sep 19 14:08:30 UTC 2025","TestProducts","test_products","",""
"","203","Create user","tests.api.users","Fri Sep 19 14:08:30 UTC 2025","passed","Fri Sep 19 14:08:31 UTC 2025","TestCreateUser","test_create_user","",""
"","102","Check that user exist","tests.api.users","Fri Sep 19 14:08:31 UTC 2025","passed","Fri Sep 19 14:08:31 UTC 2025","TestCheckUser","test_check_user","",""
"","6666","User open home page with state logged in","tests.ui","Fri Sep 19 14:09:12 UTC 2025","failed","Fri Sep 19 14:09:18 UTC 2025","","test_browser_state","",""
"","110","Check user details","tests.api.users","Fri Sep 19 14:08:31 UTC 2025","passed","Fri Sep 19 14:08:31 UTC 2025","TestCheckUser","test_check_user","",""
"","6882","User login with valid email and password","tests.ui","Fri Sep 19 14:08:32 UTC 2025","failed","Fri Sep 19 14:08:39 UTC 2025","TestAuthorization","test_registration_user","",""
"","4786","New User Registration","tests.ui","Fri Sep 19 14:09:19 UTC 2025","passed","Fri Sep 19 14:09:24 UTC 2025","TestAuthorization","test_registration_user","",""
"","2768","User login with valid email and password","tests.ui","Fri Sep 19 14:08:40 UTC 2025","passed","Fri Sep 19 14:08:42 UTC 2025","TestAuthorization","test_registration_user","",""
"","187","test_login","tests.api.athentication","Fri Sep 19 14:08:29 UTC 2025","passed","Fri Sep 19 14:08:29 UTC 2025","TestAuthentication","test_auth_api","",""
